plates mjds fibers
5204 56036 851
4730 55630 647
6173 56238 631
5442 55978 119
4641 55947 799
6716 56401 795
4860 55691 156
7331 56658 683
6433 56339 840
6517 56563 859
3551 55156 323
5890 56037 473
5706 56165 399
4072 55362 513
6872 56540 741
4781 55653 469
5204 56036 739
5361 55973 700
6730 56425 797
4296 55499 643
3682 55244 365
6257 56274 306
4481 55630 374
3660 55153 448
5715 56657 726
6167 56189 309
7327 56715 942
6688 56412 441
5811 56334 280
5067 55751 507
5428 56029 129
6064 56097 392
5787 56254 702
4351 55538 862
5460 56000 105
6832 56426 323
3698 55501 733
6674 56416 739
5156 55925 219
6003 56311 267
3922 55333 476
5166 56065 147
4269 55502 683
4267 55484 832
3659 55151 944
6789 56401 762
6290 56238 956
4854 55685 425
7117 56685 871
3770 55234 654
5772 56003 602
4011 55635 694
5018 55734 840
4497 55564 783
6517 56563 573
6753 56399 393
6395 56354 563
5150 56329 878
